iter	Passed	Remaining
0	96	48056
1	109	27195
2	120	19929
3	129	16061
4	142	14060
5	153	12633
6	162	11451
7	165	10200
8	173	9469
9	182	8961
10	192	8548
11	203	8265
12	210	7896
13	219	7609
14	229	7406
15	239	7241
16	245	6975
17	253	6800
18	260	6601
19	269	6466
20	280	6391
21	289	6296
22	299	6206
23	310	6160
24	318	6056
25	328	5980
26	337	5908
27	346	5845
28	357	5811
29	368	5773
30	378	5731
31	384	5624
32	393	5573
33	404	5543
34	415	5518
35	427	5512
36	436	5465
37	447	5435
38	456	5396
39	465	5354
40	476	5329
41	486	5306
42	497	5284
43	508	5272
44	518	5242
45	529	5223
46	539	5202
47	549	5173
48	558	5140
49	568	5118
50	576	5072
51	582	5014
52	590	4977
53	601	4966
54	610	4936
55	617	4897
56	628	4885
57	639	4871
58	649	4853
59	657	4824
60	667	4801
61	676	4776
62	686	4763
63	695	4737
64	705	4722
65	714	4700
66	725	4687
67	736	4678
68	747	4670
69	758	4658
70	769	4649
71	779	4630
72	787	4606
73	796	4583
74	807	4575
75	818	4565
76	829	4556
77	839	4541
78	850	4533
79	860	4517
80	868	4493
81	880	4487
82	891	4478
83	900	4459
84	908	4435
85	919	4424
86	928	4406
87	938	4394
88	947	4375
89	957	4363
90	968	4354
91	978	4340
92	987	4320
93	994	4295
94	1003	4275
95	1013	4263
96	1021	4245
97	1032	4234
98	1041	4217
99	1051	4204
100	1062	4197
101	1073	4188
102	1081	4167
103	1092	4160
104	1103	4150
105	1114	4141
106	1125	4132
107	1135	4121
108	1144	4105
109	1153	4091
110	1163	4079
111	1173	4064
112	1184	4054
113	1191	4035
114	1202	4024
115	1213	4018
116	1226	4014
117	1239	4012
118	1250	4003
119	1261	3994
120	1271	3984
121	1281	3971
122	1291	3959
123	1303	3952
124	1312	3936
125	1323	3928
126	1334	3918
127	1345	3910
128	1359	3908
129	1369	3896
130	1378	3881
131	1382	3852
132	1390	3838
133	1401	3828
134	1411	3815
135	1422	3806
136	1432	3795
137	1441	3781
138	1451	3769
139	1459	3753
140	1469	3741
141	1479	3730
142	1490	3720
143	1500	3709
144	1511	3699
145	1517	3678
146	1527	3668
147	1537	3657
148	1547	3645
149	1557	3633
150	1567	3622
151	1577	3610
152	1585	3596
153	1595	3584
154	1607	3577
155	1617	3567
156	1627	3555
157	1636	3541
158	1644	3527
159	1654	3516
160	1664	3503
161	1675	3495
162	1687	3488
163	1697	3477
164	1707	3466
165	1718	3457
166	1727	3444
167	1738	3435
168	1749	3426
169	1759	3416
170	1768	3402
171	1775	3385
172	1784	3373
173	1795	3364
174	1804	3351
175	1814	3339
176	1825	3330
177	1835	3320
178	1846	3310
179	1856	3299
180	1867	3291
181	1878	3282
182	1887	3269
183	1898	3260
184	1903	3240
185	1912	3228
186	1922	3217
187	1933	3208
188	1943	3198
189	1952	3186
190	1962	3175
191	1970	3161
192	1980	3149
193	1991	3140
194	2000	3129
195	2009	3117
196	2020	3107
197	2029	3095
198	2038	3082
199	2048	3073
200	2059	3063
201	2067	3050
202	2079	3042
203	2086	3027
204	2095	3015
205	2103	3002
206	2112	2990
207	2120	2976
208	2129	2965
209	2135	2949
210	2144	2937
211	2156	2928
212	2164	2917
213	2173	2905
214	2184	2895
215	2194	2885
216	2205	2876
217	2216	2866
218	2226	2856
219	2237	2847
220	2247	2837
221	2258	2828
222	2268	2818
223	2276	2804
224	2287	2795
225	2296	2784
226	2307	2775
227	2329	2779
228	2348	2778
229	2357	2767
230	2366	2756
231	2372	2740
232	2381	2729
233	2391	2718
234	2401	2707
235	2412	2699
236	2422	2688
237	2432	2677
238	2442	2667
239	2452	2656
240	2463	2647
241	2474	2637
242	2484	2627
243	2495	2618
244	2506	2608
245	2516	2598
246	2527	2588
247	2535	2576
248	2543	2564
249	2552	2552
250	2562	2541
251	2572	2531
252	2579	2518
253	2590	2509
254	2595	2493
255	2606	2484
256	2618	2475
257	2629	2465
258	2634	2451
259	2645	2442
260	2654	2430
261	2664	2420
262	2675	2411
263	2686	2401
264	2697	2392
265	2708	2382
266	2718	2372
267	2729	2362
268	2740	2353
269	2751	2343
270	2762	2334
271	2773	2324
272	2780	2311
273	2788	2300
274	2800	2291
275	2809	2279
276	2818	2269
277	2829	2259
278	2839	2249
279	2850	2239
280	2857	2226
281	2866	2216
282	2876	2205
283	2886	2195
284	2896	2185
285	2908	2176
286	2919	2166
287	2931	2157
288	2941	2147
289	2952	2137
290	2961	2127
291	2972	2117
292	2983	2108
293	2993	2097
294	3002	2086
295	3013	2077
296	3024	2067
297	3035	2057
298	3045	2047
299	3055	2036
300	3065	2026
301	3076	2017
302	3087	2007
303	3097	1996
304	3108	1987
305	3117	1976
306	3125	1965
307	3136	1955
308	3145	1944
309	3156	1934
310	3166	1924
311	3175	1913
312	3186	1903
313	3195	1892
314	3205	1882
315	3215	1872
316	3226	1862
317	3238	1853
318	3249	1843
319	3260	1834
320	3272	1824
321	3282	1814
322	3292	1804
323	3301	1793
324	3312	1783
325	3323	1773
326	3335	1764
327	3345	1754
328	3354	1743
329	3364	1733
330	3375	1723
331	3385	1713
332	3394	1702
333	3406	1692
334	3413	1681
335	3425	1671
336	3436	1661
337	3446	1651
338	3455	1640
339	3463	1629
340	3471	1618
341	3481	1608
342	3493	1598
343	3501	1588
344	3511	1577
345	3522	1567
346	3533	1558
347	3544	1548
348	3551	1536
349	3562	1526
350	3573	1517
351	3583	1506
352	3593	1496
353	3602	1485
354	3613	1475
355	3623	1465
356	3633	1455
357	3643	1445
358	3654	1435
359	3664	1425
360	3675	1415
361	3685	1404
362	3695	1394
363	3705	1384
364	3716	1374
365	3727	1364
366	3738	1354
367	3748	1344
368	3760	1334
369	3770	1324
370	3780	1314
371	3791	1304
372	3801	1294
373	3810	1283
374	3820	1273
375	3832	1263
376	3843	1254
377	3852	1243
378	3862	1233
379	3874	1223
380	3884	1213
381	3893	1202
382	3900	1191
383	3911	1181
384	3921	1171
385	3931	1161
386	3942	1151
387	3949	1140
388	3958	1129
389	3968	1119
390	3978	1109
391	3988	1098
